DATE / TIME (PST),M FLOW CFS
9/24/2009,280
9/25/2009,334
9/26/2009,345
9/27/2009,383
9/28/2009,377
9/29/2009,336
9/30/2009,390
10/1/2009,383
10/2/2009,374
10/3/2009,406
10/4/2009,416
10/5/2009,432
10/6/2009,415
10/7/2009,410
10/8/2009,384
10/9/2009,438
10/10/2009,438
10/11/2009,545
10/12/2009,583
10/13/2009,665
10/14/2009,844
10/15/2009,866
10/16/2009,985
10/17/2009,"1,009"
10/18/2009,"1,032"
10/19/2009,892
10/20/2009,830
10/21/2009,821
10/22/2009,804
10/23/2009,778
10/24/2009,838
10/25/2009,852
10/26/2009,916
10/27/2009,"1,011"
10/28/2009,981
10/29/2009,943
10/30/2009,950
10/31/2009,931
11/1/2009,867
11/2/2009,804
11/3/2009,778
11/4/2009,719
11/5/2009,724
11/6/2009,693
11/7/2009,652
11/8/2009,631
11/9/2009,609
11/10/2009,598
11/11/2009,575
11/12/2009,564
11/13/2009,557
11/14/2009,558
11/15/2009,559
11/16/2009,568
11/17/2009,566
11/18/2009,575
11/19/2009,573
11/20/2009,564
11/21/2009,558
11/22/2009,557
11/23/2009,559
11/24/2009,560
11/25/2009,560
11/26/2009,555
11/27/2009,554
11/28/2009,559
11/29/2009,564
11/30/2009,549
12/1/2009,549
12/2/2009,580
12/3/2009,613
12/4/2009,602
12/5/2009,578
12/6/2009,551
12/7/2009,554
12/8/2009,500
12/9/2009,457
12/10/2009,455
12/11/2009,458
12/12/2009,480
12/13/2009,527
12/14/2009,553
12/15/2009,602
12/16/2009,633
12/17/2009,640
12/18/2009,638
12/19/2009,608
12/20/2009,577
12/21/2009,552
12/22/2009,546
12/23/2009,524
12/24/2009,494
12/25/2009,472
12/26/2009,468
12/27/2009,479
12/28/2009,472
12/29/2009,465
12/30/2009,463
12/31/2009,462
1/1/2010,459
1/2/2010,456
1/3/2010,456
1/4/2010,451
1/5/2010,445
1/6/2010,436
1/7/2010,417
1/8/2010,416
1/9/2010,412
1/10/2010,421
1/11/2010,416
1/12/2010,421
1/13/2010,459
1/14/2010,447
1/15/2010,456
1/16/2010,464
1/17/2010,478
1/18/2010,534
1/19/2010,619
1/20/2010,"1,213"
1/21/2010,"1,890"
1/22/2010,"2,105"
1/23/2010,"2,188"
1/24/2010,"2,146"
1/25/2010,"2,124"
1/26/2010,"2,006"
1/27/2010,"1,766"
1/28/2010,"1,475"
1/29/2010,"1,247"
1/30/2010,"1,085"
1/31/2010,966
2/1/2010,880
2/2/2010,825
2/3/2010,774
2/4/2010,743
2/5/2010,731
2/6/2010,706
2/7/2010,718
2/8/2010,732
2/9/2010,895
2/10/2010,941
2/11/2010,956
2/12/2010,"1,076"
2/13/2010,"1,102"
2/14/2010,"1,006"
2/15/2010,916
2/16/2010,858
2/17/2010,818
2/18/2010,783
2/19/2010,748
2/20/2010,710
2/21/2010,713
2/22/2010,738
2/23/2010,749
2/24/2010,853
2/25/2010,934
2/26/2010,"1,051"
2/27/2010,"1,282"
2/28/2010,"1,543"
3/1/2010,"1,775"
3/2/2010,"1,872"
3/3/2010,"1,957"
3/4/2010,"1,969"
3/5/2010,"2,013"
3/6/2010,"2,134"
3/7/2010,"2,147"
3/8/2010,"2,049"
3/9/2010,"1,901"
3/10/2010,"1,774"
3/11/2010,"1,644"
3/12/2010,"1,565"
3/13/2010,"1,513"
3/14/2010,"1,425"
3/15/2010,"1,382"
3/16/2010,"1,442"
3/17/2010,"1,425"
3/18/2010,"1,449"
3/19/2010,"1,496"
3/20/2010,"1,465"
3/21/2010,"1,474"
3/22/2010,"1,453"
3/23/2010,"1,413"
3/24/2010,"1,352"
3/25/2010,"1,342"
3/26/2010,"1,340"
3/27/2010,"1,324"
3/28/2010,"1,304"
3/29/2010,"1,307"
3/30/2010,"1,261"
3/31/2010,"1,233"
4/1/2010,"1,211"
4/2/2010,"1,173"
4/3/2010,"1,139"
4/4/2010,"1,157"
4/5/2010,"1,281"
4/6/2010,"1,355"
4/7/2010,"1,412"
4/8/2010,"1,393"
4/9/2010,"1,417"
4/10/2010,"1,387"
4/11/2010,"1,406"
4/12/2010,"1,441"
4/13/2010,"1,479"
4/14/2010,"1,607"
4/15/2010,"1,680"
4/16/2010,"1,747"
4/17/2010,"1,745"
4/18/2010,"1,644"
4/19/2010,"1,596"
4/20/2010,"1,574"
4/21/2010,"1,553"
4/22/2010,"1,659"
4/23/2010,"1,833"
4/24/2010,"2,032"
4/25/2010,"2,179"
4/26/2010,"2,252"
4/27/2010,"2,201"
4/28/2010,"2,141"
4/29/2010,"2,046"
4/30/2010,"1,933"
5/1/2010,"1,765"
5/2/2010,"1,636"
5/3/2010,"1,486"
5/4/2010,"1,437"
5/5/2010,"1,500"
5/6/2010,"1,597"
5/7/2010,"1,699"
5/8/2010,"1,649"
5/9/2010,"1,698"
5/10/2010,"1,676"
5/11/2010,"1,489"
5/12/2010,"1,370"
5/13/2010,"1,266"
5/14/2010,"1,154"
5/15/2010,"1,113"
5/16/2010,"1,174"
5/17/2010,"1,200"
5/18/2010,"1,213"
5/19/2010,"1,223"
5/20/2010,"1,298"
5/21/2010,"1,324"
5/22/2010,"1,296"
5/23/2010,"1,291"
5/24/2010,"1,309"
5/25/2010,"1,173"
5/26/2010,"1,201"
5/27/2010,"1,184"
5/28/2010,"1,249"
5/29/2010,"1,334"
5/30/2010,"1,372"
5/31/2010,"1,424"
6/1/2010,"1,376"
6/2/2010,"1,370"
6/3/2010,"1,358"
6/4/2010,"1,314"
6/5/2010,"1,272"
6/6/2010,"1,249"
6/7/2010,"1,252"
6/8/2010,"1,391"
6/9/2010,"1,387"
6/10/2010,"1,390"
6/11/2010,"1,379"
6/12/2010,"1,390"
6/13/2010,"1,361"
6/14/2010,"1,234"
6/15/2010,"1,124"
6/16/2010,"1,034"
6/17/2010,955
6/18/2010,910
6/19/2010,898
6/20/2010,876
6/21/2010,910
6/22/2010,898
6/23/2010,844
6/24/2010,774
6/25/2010,730
6/26/2010,684
6/27/2010,762
6/28/2010,810
6/29/2010,786
6/30/2010,739
7/1/2010,659
7/2/2010,669
7/3/2010,687
7/4/2010,752
7/5/2010,748
7/6/2010,646
7/7/2010,664
7/8/2010,638
7/9/2010,598
7/10/2010,567
7/11/2010,587
7/12/2010,574
7/13/2010,542
7/14/2010,481
7/15/2010,519
7/16/2010,523
7/17/2010,556
7/18/2010,566
7/19/2010,570
7/20/2010,530
7/21/2010,543
7/22/2010,544
7/23/2010,562
7/24/2010,558
7/25/2010,602
7/26/2010,618
7/27/2010,614
7/28/2010,615
7/29/2010,575
7/30/2010,587
7/31/2010,570
8/1/2010,608
8/2/2010,632
8/3/2010,602
8/4/2010,604
8/5/2010,609
8/6/2010,623
8/7/2010,605
8/8/2010,638
8/9/2010,644
8/10/2010,592
8/11/2010,569
8/12/2010,568
8/13/2010,552
8/14/2010,521
8/15/2010,597
8/16/2010,689
8/17/2010,687
8/18/2010,668
8/19/2010,670
8/20/2010,634
8/21/2010,617
8/22/2010,677
8/23/2010,639
8/24/2010,571
8/25/2010,517
8/26/2010,533
8/27/2010,560
8/28/2010,583
8/29/2010,633
8/30/2010,737
8/31/2010,707
9/1/2010,768
9/2/2010,781
9/3/2010,729
9/4/2010,701
9/5/2010,745
9/6/2010,726
9/7/2010,694
9/8/2010,718
9/9/2010,789
9/10/2010,"1,002"
9/11/2010,"1,291"
9/12/2010,"1,666"
9/13/2010,"1,827"
9/14/2010,"1,860"
9/15/2010,"1,719"
9/16/2010,"1,450"
9/17/2010,"1,273"
9/18/2010,"1,197"
9/19/2010,"1,146"
9/20/2010,"1,068"
9/21/2010,951
9/22/2010,847
9/23/2010,806
9/24/2010,799
9/25/2010,731
9/26/2010,787
9/27/2010,795
9/28/2010,733
9/29/2010,747
9/30/2010,750
10/1/2010,758
10/2/2010,750
10/3/2010,759
10/4/2010,785
10/5/2010,794
10/6/2010,783
10/7/2010,805
10/8/2010,844
10/9/2010,858
10/10/2010,906
10/11/2010,964
10/12/2010,867
10/13/2010,818
10/14/2010,782
10/15/2010,751
10/16/2010,748
10/17/2010,765
10/18/2010,807
10/19/2010,809
10/20/2010,820
10/21/2010,790
10/22/2010,798
10/23/2010,855
10/24/2010,944
10/25/2010,"1,123"
10/26/2010,"1,178"
10/27/2010,"1,266"
10/28/2010,"1,332"
10/29/2010,"1,396"
10/30/2010,"1,410"
10/31/2010,"1,342"
11/1/2010,"1,311"
11/2/2010,"1,236"
11/3/2010,"1,106"
11/4/2010,980
11/5/2010,898
11/6/2010,865
11/7/2010,841
11/8/2010,838
11/9/2010,821
11/10/2010,804
11/11/2010,795
11/12/2010,777
11/13/2010,772
11/14/2010,764
11/15/2010,760
11/16/2010,734
11/17/2010,712
11/18/2010,699
11/19/2010,697
11/20/2010,730
11/21/2010,770
11/22/2010,786
11/23/2010,831
11/24/2010,876
11/25/2010,876
11/26/2010,876
11/27/2010,872
11/28/2010,853
11/29/2010,827
11/30/2010,818
12/1/2010,820
12/2/2010,822
12/3/2010,830
12/4/2010,829
12/5/2010,826
12/6/2010,807
12/7/2010,802
12/8/2010,799
12/9/2010,808
12/10/2010,841
12/11/2010,821
12/12/2010,803
12/13/2010,790
12/14/2010,708
12/15/2010,691
12/16/2010,722
12/17/2010,778
12/18/2010,945
12/19/2010,"1,380"
12/20/2010,"1,779"
12/21/2010,"2,141"
12/22/2010,"2,781"
12/23/2010,"3,133"
12/24/2010,"3,267"
12/25/2010,"3,374"
12/26/2010,"3,497"
12/27/2010,"3,625"
12/28/2010,"3,828"
12/29/2010,"3,881"
12/30/2010,"4,095"
12/31/2010,"4,655"
1/1/2011,"4,953"
1/2/2011,"5,433"
1/3/2011,"6,126"
1/4/2011,"7,346"
1/5/2011,"8,887"
1/6/2011,"10,502"
1/7/2011,"11,913"
1/8/2011,"11,387"
1/9/2011,"10,469"
1/10/2011,"10,051"
1/11/2011,"9,881"
1/12/2011,"9,493"
1/13/2011,"8,943"
1/14/2011,"8,350"
1/15/2011,"7,803"
1/16/2011,"7,259"
1/17/2011,"6,669"
1/18/2011,"6,179"
1/19/2011,"5,712"
1/20/2011,"5,193"
1/21/2011,"4,704"
1/22/2011,"4,216"
1/23/2011,"3,648"
1/24/2011,"3,245"
1/25/2011,"3,025"
1/26/2011,"3,311"
1/27/2011,"3,988"
1/28/2011,"4,324"
1/29/2011,"4,362"
1/30/2011,"4,236"
1/31/2011,"4,147"
2/1/2011,"4,122"
2/2/2011,"4,028"
2/3/2011,"4,087"
2/4/2011,"4,173"
2/5/2011,"4,141"
2/6/2011,"4,099"
2/7/2011,"4,043"
2/8/2011,"4,028"
2/9/2011,"3,978"
2/10/2011,"3,753"
2/11/2011,"3,665"
2/12/2011,"3,661"
2/13/2011,"3,662"
2/14/2011,"3,637"
2/15/2011,"3,628"
2/16/2011,"3,674"
2/17/2011,"3,742"
2/18/2011,"3,903"
2/19/2011,"4,346"
2/20/2011,"5,085"
2/21/2011,"5,765"
2/22/2011,"6,183"
2/23/2011,"6,297"
2/24/2011,"6,153"
2/25/2011,"5,896"
2/26/2011,"6,077"
2/27/2011,"5,932"
2/28/2011,"5,810"
3/1/2011,"5,792"
3/2/2011,"5,659"
3/3/2011,"5,436"
3/4/2011,"5,161"
3/5/2011,"4,955"
3/6/2011,"4,862"
3/7/2011,"4,801"
3/8/2011,"4,747"
3/9/2011,"4,747"
3/10/2011,"4,763"
3/11/2011,"4,756"
3/12/2011,"4,702"
3/13/2011,"4,423"
3/14/2011,"4,230"
3/15/2011,"4,089"
3/16/2011,"4,032"
3/17/2011,"3,997"
3/18/2011,"4,026"
3/19/2011,"4,086"
3/20/2011,"4,533"
3/21/2011,"5,552"
3/22/2011,"6,531"
3/23/2011,"6,887"
3/24/2011,"7,368"
3/25/2011,"10,046"
3/26/2011,"13,356"
3/27/2011,"16,717"
3/28/2011,"19,632"
3/29/2011,"21,560"
3/30/2011,"22,595"
3/31/2011,"22,777"
4/1/2011,"22,405"
4/2/2011,"21,301"
4/3/2011,"19,209"
4/4/2011,"18,040"
4/5/2011,"11,452"
4/6/2011,"8,067"
4/7/2011,"8,220"
4/8/2011,"13,415"
4/9/2011,"17,629"
4/10/2011,"17,451"
4/11/2011,"17,217"
4/12/2011,"16,974"
4/13/2011,"16,746"
4/14/2011,"16,403"
4/15/2011,"16,232"
4/16/2011,"15,897"
4/17/2011,"15,483"
4/18/2011,"14,743"
4/19/2011,"14,139"
4/20/2011,"13,756"
4/21/2011,"13,499"
4/22/2011,"13,284"
4/23/2011,"13,119"
4/24/2011,"12,879"
4/25/2011,"12,554"
4/26/2011,"12,310"
4/27/2011,"11,839"
4/28/2011,"11,527"
4/29/2011,"11,269"
4/30/2011,"10,915"
5/1/2011,"10,629"
5/2/2011,"10,114"
5/3/2011,"9,603"
5/4/2011,"9,188"
5/5/2011,"8,947"
5/6/2011,"8,758"
5/7/2011,"8,552"
5/8/2011,"8,306"
5/9/2011,"8,193"
5/10/2011,"7,180"
5/11/2011,"6,605"
5/12/2011,"6,216"
5/13/2011,"5,929"
5/14/2011,"5,749"
5/15/2011,"5,495"
5/16/2011,"5,457"
5/17/2011,"5,456"
5/18/2011,"5,457"
5/19/2011,"5,459"
5/20/2011,"5,460"
5/21/2011,"5,460"
5/22/2011,"5,460"
5/23/2011,"5,458"
5/24/2011,"5,459"
5/25/2011,"5,457"
5/26/2011,"5,458"
5/27/2011,"5,458"
5/28/2011,"5,457"
