$DateFormat=mm/dd/yyyy,
10/30/1901,93
10/31/1901,93
11/1/1901,110
11/2/1901,110
11/3/1901,110
11/4/1901,110
11/5/1901,110
11/6/1901,110
11/7/1901,110
11/8/1901,110
11/9/1901,110
11/10/1901,110
11/11/1901,110
11/12/1901,110
11/13/1901,110
11/14/1901,110
11/15/1901,110
11/16/1901,110
11/17/1901,110
11/18/1901,110
11/19/1901,110
11/20/1901,110
11/21/1901,110
11/22/1901,110
11/23/1901,110
11/24/1901,110
11/25/1901,110
11/26/1901,110
11/27/1901,110
11/28/1901,110
11/29/1901,110
11/30/1901,110
12/1/1901,110
12/2/1901,110
12/3/1901,110
12/4/1901,110
12/5/1901,110
12/6/1901,110
12/7/1901,110
12/8/1901,110
12/9/1901,110
12/10/1901,110
12/11/1901,110
12/12/1901,110
12/13/1901,110
12/14/1901,110
12/15/1901,110
12/16/1901,110
12/17/1901,110
12/18/1901,110
12/19/1901,110
12/20/1901,110
12/21/1901,110
12/22/1901,110
12/23/1901,110
12/24/1901,110
12/25/1901,110
12/26/1901,110
12/27/1901,110
12/28/1901,110
12/29/1901,110
12/30/1901,110
12/31/1901,110
1/1/1902,75
1/2/1902,75
1/3/1902,75
1/4/1902,75
1/5/1902,75
1/6/1902,75
1/7/1902,75
1/8/1902,75
1/9/1902,75
1/10/1902,75
1/11/1902,75
1/12/1902,75
1/13/1902,75
1/14/1902,75
1/15/1902,75
1/16/1902,75
1/17/1902,75
1/18/1902,75
1/19/1902,75
1/20/1902,75
1/21/1902,75
1/22/1902,75
1/23/1902,75
1/24/1902,75
1/25/1902,75
1/26/1902,75
1/27/1902,75
1/28/1902,75
1/29/1902,75
1/30/1902,75
1/31/1902,75
2/1/1902,70
2/2/1902,70
2/3/1902,70
2/4/1902,70
2/5/1902,70
2/6/1902,70
2/7/1902,70
2/8/1902,70
2/9/1902,70
2/10/1902,70
2/11/1902,70
2/12/1902,70
2/13/1902,70
2/14/1902,70
2/15/1902,70
2/16/1902,70
2/17/1902,70
2/18/1902,70
2/19/1902,70
2/20/1902,70
2/21/1902,70
2/22/1902,70
2/23/1902,70
2/24/1902,70
2/25/1902,70
2/26/1902,70
2/27/1902,70
2/28/1902,70
3/1/1902,125
3/2/1902,125
3/3/1902,125
3/4/1902,125
3/5/1902,125
3/6/1902,125
3/7/1902,125
3/8/1902,125
3/9/1902,125
3/10/1902,125
3/11/1902,125
3/12/1902,125
3/13/1902,125
3/14/1902,125
3/15/1902,125
3/16/1902,125
3/17/1902,125
3/18/1902,125
3/19/1902,125
3/20/1902,125
3/21/1902,125
3/22/1902,125
3/23/1902,125
3/24/1902,125
3/25/1902,125
3/26/1902,125
3/27/1902,125
3/28/1902,125
3/29/1902,125
3/30/1902,125
3/31/1902,125
4/1/1902,143
4/2/1902,143
4/3/1902,127
4/4/1902,119
4/5/1902,119
4/6/1902,143
4/7/1902,160
4/8/1902,218
4/9/1902,593
4/10/1902,414
4/11/1902,467
4/12/1902,290
4/13/1902,414
4/14/1902,449
4/15/1902,431
4/16/1902,304
4/17/1902,252
4/18/1902,240
4/19/1902,240
4/20/1902,264
4/21/1902,264
4/22/1902,575
4/23/1902,197
4/24/1902,178
4/25/1902,178
4/26/1902,178
4/27/1902,178
4/28/1902,178
4/29/1902,160
4/30/1902,178
5/1/1902,65
5/2/1902,119
5/3/1902,197
5/4/1902,119
5/5/1902,119
5/6/1902,119
5/7/1902,119
5/8/1902,119
5/9/1902,65
5/10/1902,119
5/11/1902,135
5/12/1902,229
5/13/1902,229
5/14/1902,229
5/15/1902,229
5/16/1902,229
5/17/1902,229
5/18/1902,218
5/19/1902,207
5/20/1902,119
5/21/1902,65
5/22/1902,178
5/23/1902,169
5/24/1902,160
5/25/1902,151
5/26/1902,105
5/27/1902,252
5/28/1902,290
5/29/1902,364
5/30/1902,333
5/31/1902,304
6/1/1902,318
6/2/1902,229
6/3/1902,119
6/4/1902,119
6/5/1902,119
6/6/1902,119
6/7/1902,119
6/8/1902,119
6/9/1902,119
6/10/1902,65
6/11/1902,119
6/12/1902,65
6/13/1902,112
6/14/1902,105
6/15/1902,112
6/16/1902,112
6/17/1902,105
6/18/1902,105
6/19/1902,105
6/20/1902,105
6/21/1902,160
6/22/1902,151
6/23/1902,127
6/24/1902,127
6/25/1902,119
6/26/1902,112
6/27/1902,119
6/28/1902,112
6/29/1902,169
6/30/1902,135
7/1/1902,119
7/2/1902,112
7/3/1902,112
7/4/1902,112
7/5/1902,98
7/6/1902,92
7/7/1902,86
7/8/1902,86
7/9/1902,86
7/10/1902,98
7/11/1902,80
7/12/1902,92
7/13/1902,92
7/14/1902,80
7/15/1902,70
7/16/1902,55
7/17/1902,92
7/18/1902,98
7/19/1902,98
7/20/1902,92
7/21/1902,80
7/22/1902,75
7/23/1902,80
7/24/1902,75
7/25/1902,75
7/26/1902,75
7/27/1902,75
7/28/1902,70
7/29/1902,70
7/30/1902,65
7/31/1902,55
8/1/1902,55
8/2/1902,55
8/3/1902,55
8/4/1902,21
8/5/1902,80
8/6/1902,127
8/7/1902,86
8/8/1902,75
8/9/1902,65
8/10/1902,65
8/11/1902,65
8/12/1902,55
8/13/1902,60
8/14/1902,55
8/15/1902,70
8/16/1902,86
8/17/1902,98
8/18/1902,98
8/19/1902,98
8/20/1902,98
8/21/1902,98
8/22/1902,127
8/23/1902,127
8/24/1902,75
8/25/1902,75
8/26/1902,98
8/27/1902,98
8/28/1902,98
8/29/1902,92
8/30/1902,75
8/31/1902,80
9/1/1902,75
9/2/1902,75
9/3/1902,75
9/4/1902,80
9/5/1902,75
9/6/1902,86
9/7/1902,86
9/8/1902,86
9/9/1902,98
9/10/1902,86
9/11/1902,86
9/12/1902,75
9/13/1902,80
9/14/1902,86
9/15/1902,86
9/16/1902,86
9/17/1902,75
9/18/1902,75
9/19/1902,75
9/20/1902,86
9/21/1902,98
9/22/1902,127
9/23/1902,92
9/24/1902,80
9/25/1902,70
9/26/1902,65
9/27/1902,65
9/28/1902,70
9/29/1902,75
9/30/1902,75
10/1/1902,75
10/2/1902,86
10/3/1902,75
10/4/1902,65
10/5/1902,65
10/6/1902,75
10/7/1902,65
10/8/1902,65
10/9/1902,65
10/10/1902,55
10/11/1902,55
10/12/1902,75
10/13/1902,75
10/14/1902,65
10/15/1902,65
10/16/1902,65
10/17/1902,65
10/18/1902,65
10/19/1902,55
10/20/1902,55
10/21/1902,55
10/22/1902,55
10/23/1902,50
10/24/1902,45
10/25/1902,45
10/26/1902,55
10/27/1902,55
10/28/1902,50
10/29/1902,55
10/30/1902,55
10/31/1902,55
11/1/1902,50
11/2/1902,50
11/3/1902,50
11/4/1902,50
11/5/1902,50
11/6/1902,40
11/7/1902,40
11/8/1902,45
11/9/1902,50
11/10/1902,55
11/11/1902,55
11/12/1902,65
11/13/1902,65
11/14/1902,65
11/15/1902,65
11/16/1902,65
11/17/1902,65
11/18/1902,65
11/19/1902,65
11/20/1902,65
11/21/1902,65
11/22/1902,65
11/23/1902,65
11/24/1902,65
11/25/1902,65
11/26/1902,65
11/27/1902,65
11/28/1902,65
11/29/1902,65
11/30/1902,65
12/1/1902,55
12/2/1902,55
12/3/1902,55
12/4/1902,55
12/5/1902,55
12/6/1902,55
12/7/1902,55
12/8/1902,55
12/9/1902,55
12/10/1902,55
12/11/1902,55
12/12/1902,55
12/13/1902,55
12/14/1902,55
12/15/1902,55
12/16/1902,55
12/17/1902,55
12/18/1902,55
12/19/1902,55
12/20/1902,55
12/21/1902,55
12/22/1902,55
12/23/1902,55
12/24/1902,55
12/25/1902,55
12/26/1902,55
12/27/1902,55
12/28/1902,55
12/29/1902,55
12/30/1902,55
12/31/1902,55
1/1/1903,55
1/2/1903,55
1/3/1903,55
1/4/1903,55
1/5/1903,55
1/6/1903,55
1/7/1903,55
1/8/1903,55
1/9/1903,55
1/10/1903,55
1/11/1903,55
1/12/1903,55
1/13/1903,55
1/14/1903,55
1/15/1903,55
1/16/1903,55
1/17/1903,55
1/18/1903,55
1/19/1903,55
1/20/1903,55
1/21/1903,55
1/22/1903,55
1/23/1903,55
1/24/1903,55
1/25/1903,55
1/26/1903,55
1/27/1903,55
1/28/1903,55
1/29/1903,55
1/30/1903,55
1/31/1903,55
2/1/1903,60
2/2/1903,60
2/3/1903,60
2/4/1903,60
2/5/1903,60
2/6/1903,60
2/7/1903,60
2/8/1903,60
2/9/1903,60
2/10/1903,60
2/11/1903,60
2/12/1903,60
2/13/1903,60
2/14/1903,60
2/15/1903,60
2/16/1903,60
2/17/1903,60
2/18/1903,60
2/19/1903,60
2/20/1903,60
2/21/1903,60
2/22/1903,60
2/23/1903,60
2/24/1903,60
2/25/1903,60
2/26/1903,60
2/27/1903,60
2/28/1903,60
3/1/1903,58
3/2/1903,58
3/3/1903,58
3/4/1903,58
3/5/1903,58
3/6/1903,58
3/7/1903,58
3/8/1903,58
3/9/1903,58
3/10/1903,58
3/11/1903,58
3/12/1903,59
3/13/1903,59
3/14/1903,59
3/15/1903,59
3/16/1903,59
3/17/1903,59
3/18/1903,59
3/19/1903,59
3/20/1903,59
3/21/1903,59
3/22/1903,59
3/23/1903,59
3/24/1903,59
3/25/1903,59
3/26/1903,59
3/27/1903,59
3/28/1903,96
3/29/1903,123
3/30/1903,109
3/31/1903,105
4/1/1903,114
4/2/1903,114
4/3/1903,96
4/4/1903,123
4/5/1903,134
4/6/1903,105
4/7/1903,110
4/8/1903,105
4/9/1903,119
4/10/1903,119
4/11/1903,123
4/12/1903,202
4/13/1903,132
4/14/1903,123
4/15/1903,128
4/16/1903,123
4/17/1903,128
4/18/1903,180
4/19/1903,162
4/20/1903,180
4/21/1903,180
4/22/1903,180
4/23/1903,173
4/24/1903,148
4/25/1903,169
4/26/1903,162
4/27/1903,173
4/28/1903,180
4/29/1903,184
4/30/1903,148
5/1/1903,173
5/2/1903,162
5/3/1903,169
5/4/1903,169
5/5/1903,158
5/6/1903,162
5/7/1903,184
5/8/1903,206
5/9/1903,224
5/10/1903,228
5/11/1903,259
5/12/1903,235
5/13/1903,264
5/14/1903,283
5/15/1903,295
5/16/1903,276
5/17/1903,295
5/18/1903,259
5/19/1903,228
5/20/1903,195
5/21/1903,169
5/22/1903,184
5/23/1903,169
5/24/1903,158
5/25/1903,235
5/26/1903,202
5/27/1903,288
5/28/1903,184
5/29/1903,191
5/30/1903,173
5/31/1903,202
6/1/1903,276
6/2/1903,264
6/3/1903,307
6/4/1903,345
6/5/1903,345
6/6/1903,358
6/7/1903,410
6/8/1903,436
6/9/1903,522
6/10/1903,627
6/11/1903,695
6/12/1903,1040
6/13/1903,1080
6/14/1903,1360
6/15/1903,1640
6/16/1903,1620
6/17/1903,1680
6/18/1903,1640
6/19/1903,1540
6/20/1903,1210
6/21/1903,1190
6/22/1903,1140
6/23/1903,1070
6/24/1903,914
6/25/1903,937
6/26/1903,762
6/27/1903,654
6/28/1903,513
6/29/1903,595
6/30/1903,654
7/1/1903,623
7/2/1903,553
7/3/1903,526
7/4/1903,526
7/5/1903,432
7/6/1903,413
7/7/1903,378
7/8/1903,345
7/9/1903,378
7/10/1903,352
7/11/1903,352
7/12/1903,345
7/13/1903,330
7/14/1903,334
7/15/1903,363
7/16/1903,330
7/17/1903,345
7/18/1903,374
7/19/1903,378
7/20/1903,363
7/21/1903,345
7/22/1903,323
7/23/1903,290
7/24/1903,286
7/25/1903,260
7/26/1903,240
7/27/1903,270
7/28/1903,236
7/29/1903,231
7/30/1903,209
7/31/1903,200
8/1/1903,186
8/2/1903,169
8/3/1903,158
8/4/1903,145
8/5/1903,161
8/6/1903,153
8/7/1903,145
8/8/1903,137
8/9/1903,129
8/10/1903,161
8/11/1903,182
8/12/1903,158
8/13/1903,153
8/14/1903,150
8/15/1903,150
8/16/1903,186
8/17/1903,218
8/18/1903,280
8/19/1903,266
8/20/1903,218
8/21/1903,236
8/22/1903,487
8/23/1903,345
8/24/1903,345
8/25/1903,280
8/26/1903,280
8/27/1903,286
8/28/1903,286
8/29/1903,290
8/30/1903,323
8/31/1903,312
9/1/1903,308
9/2/1903,290
9/3/1903,280
9/4/1903,280
9/5/1903,270
9/6/1903,260
9/7/1903,260
9/8/1903,256
9/9/1903,246
9/10/1903,250
9/11/1903,250
9/12/1903,260
9/13/1903,270
9/14/1903,290
9/15/1903,301
9/16/1903,290
9/17/1903,213
9/18/1903,152
9/19/1903,142
9/20/1903,152
9/21/1903,142
9/22/1903,152
9/23/1903,138
9/24/1903,128
9/25/1903,123
9/26/1903,105
9/27/1903,123
9/28/1903,132
9/29/1903,142
9/30/1903,132
10/1/1903,123
10/2/1903,119
10/3/1903,110
10/4/1903,114
10/5/1903,123
10/6/1903,114
10/7/1903,96
10/8/1903,92
10/9/1903,105
10/10/1903,87
10/11/1903,78
10/12/1903,78
10/13/1903,75
10/14/1903,75
10/15/1903,87
10/16/1903,110
10/17/1903,123
10/18/1903,87
10/19/1903,128
10/20/1903,162
10/21/1903,142
10/22/1903,142
10/23/1903,142
10/24/1903,123
10/25/1903,123
10/26/1903,132
10/27/1903,123
10/28/1903,123
10/29/1903,119
10/30/1903,119
10/31/1903,123
11/1/1903,114
11/2/1903,123
11/3/1903,123
11/4/1903,152
11/5/1903,158
11/6/1903,240
11/7/1903,371
11/8/1903,371
11/9/1903,358
11/10/1903,295
11/11/1903,228
11/12/1903,180
11/13/1903,152
11/14/1903,123
11/15/1903,101
11/16/1903,92
11/17/1903,105
11/18/1903,123
11/19/1903,132
11/20/1903,191
11/21/1903,142
11/22/1903,123
11/23/1903,119
11/24/1903,105
11/25/1903,110
11/26/1903,114
11/27/1903,119
11/28/1903,105
11/29/1903,105
11/30/1903,110
12/1/1903,105
12/2/1903,96
12/3/1903,123
12/4/1903,110
12/5/1903,105
12/6/1903,101
12/7/1903,87
12/8/1903,96
12/9/1903,105
12/10/1903,96
12/11/1903,78
12/12/1903,70
12/13/1903,87
12/14/1903,92
12/15/1903,70
12/16/1903,87
12/17/1903,96
12/18/1903,105
12/19/1903,87
12/20/1903,70
12/21/1903,67
12/22/1903,67
12/23/1903,75
12/24/1903,87
12/25/1903,70
12/26/1903,62
12/27/1903,54
12/28/1903,92
12/29/1903,169
12/30/1903,217
12/31/1903,184
1/1/1904,55
1/2/1904,55
1/3/1904,55
1/4/1904,55
1/5/1904,55
1/6/1904,55
1/7/1904,55
1/8/1904,55
1/9/1904,55
1/10/1904,55
1/11/1904,55
1/12/1904,55
1/13/1904,55
1/14/1904,55
1/15/1904,55
1/16/1904,55
1/17/1904,55
1/18/1904,55
1/19/1904,55
1/20/1904,55
1/21/1904,55
1/22/1904,55
1/23/1904,55
1/24/1904,55
1/25/1904,55
1/26/1904,55
1/27/1904,55
1/28/1904,55
1/29/1904,55
1/30/1904,55
1/31/1904,55
2/1/1904,55
2/2/1904,55
2/3/1904,55
2/4/1904,55
2/5/1904,55
2/6/1904,55
2/7/1904,55
2/8/1904,55
2/9/1904,55
2/10/1904,55
2/11/1904,55
2/12/1904,55
2/13/1904,55
2/14/1904,55
2/15/1904,55
2/16/1904,55
2/17/1904,55
2/18/1904,55
2/19/1904,55
2/20/1904,55
2/21/1904,55
2/22/1904,55
2/23/1904,55
2/24/1904,55
2/25/1904,55
2/26/1904,55
2/27/1904,55
2/28/1904,55
2/29/1904,55
3/1/1904,55
3/2/1904,55
3/3/1904,58
3/4/1904,51
3/5/1904,58
3/6/1904,64
3/7/1904,64
3/8/1904,58
3/9/1904,54
3/10/1904,50
3/11/1904,45
3/12/1904,40
3/13/1904,37
3/14/1904,37
3/15/1904,40
3/16/1904,54
3/17/1904,40
3/18/1904,58
3/19/1904,64
3/20/1904,54
3/21/1904,54
3/22/1904,58
3/23/1904,54
3/24/1904,51
3/25/1904,37
3/26/1904,51
3/27/1904,58
3/28/1904,51
3/29/1904,58
3/30/1904,54
3/31/1904,71
4/1/1904,58
4/2/1904,75
4/3/1904,75
4/4/1904,79
4/5/1904,79
4/6/1904,71
4/7/1904,79
4/8/1904,86
4/9/1904,116
4/10/1904,116
4/11/1904,147
4/12/1904,214
4/13/1904,214
4/14/1904,257
4/15/1904,214
4/16/1904,242
4/17/1904,281
4/18/1904,341
4/19/1904,323
4/20/1904,323
4/21/1904,257
4/22/1904,251
4/23/1904,263
4/24/1904,214
4/25/1904,178
4/26/1904,214
4/27/1904,242
4/28/1904,281
4/29/1904,332
4/30/1904,257
5/1/1904,214
5/2/1904,287
5/3/1904,362
5/4/1904,323
5/5/1904,323
5/6/1904,347
5/7/1904,413
5/8/1904,407
5/9/1904,401
5/10/1904,377
5/11/1904,401
5/12/1904,423
5/13/1904,502
5/14/1904,600
5/15/1904,593
5/16/1904,508
5/17/1904,432
5/18/1904,438
5/19/1904,454
5/20/1904,583
5/21/1904,496
5/22/1904,502
5/23/1904,767
5/24/1904,774
5/25/1904,685
5/26/1904,567
5/27/1904,508
5/28/1904,476
5/29/1904,438
5/30/1904,463
5/31/1904,518
6/1/1904,454
6/2/1904,470
6/3/1904,792
6/4/1904,470
6/5/1904,413
6/6/1904,407
6/7/1904,432
6/8/1904,508
6/9/1904,502
6/10/1904,444
6/11/1904,423
6/12/1904,617
6/13/1904,685
6/14/1904,617
6/15/1904,675
6/16/1904,583
6/17/1904,600
6/18/1904,550
6/19/1904,641
6/20/1904,583
6/21/1904,560
6/22/1904,502
6/23/1904,476
6/24/1904,438
6/25/1904,470
6/26/1904,454
6/27/1904,438
6/28/1904,634
6/29/1904,774
6/30/1904,617
7/1/1904,454
7/2/1904,423
7/3/1904,470
7/4/1904,518
7/5/1904,541
7/6/1904,518
7/7/1904,377
7/8/1904,407
7/9/1904,518
7/10/1904,738
7/11/1904,583
7/12/1904,392
7/13/1904,377
7/14/1904,332
7/15/1904,317
7/16/1904,287
7/17/1904,257
7/18/1904,200
7/19/1904,200
7/20/1904,195
7/21/1904,200
7/22/1904,228
7/23/1904,214
7/24/1904,1310
7/25/1904,438
7/26/1904,251
7/27/1904,392
7/28/1904,502
7/29/1904,502
7/30/1904,423
7/31/1904,486
8/1/1904,567
8/2/1904,567
8/3/1904,550
8/4/1904,583
8/5/1904,567
8/6/1904,438
