SITE_NO,STATION_NM,REG,SQMI,ABS_DIFF
01049265,"Kennebec River at North Sidney, Maine",01,5412.0341,0.0017
01049270,"STONY BROOK NR SOUTH VASSALBORO, ME",01,2.9651,0.0083
01049295,"KENNEBEC R US FROM CUSHNOC DAM AT AUGUSTA, ME",01,5500.9224,0.0014
01049320,"Kennebec River at Fr. Curran Bridge at Augusta, ME",01,5521.5765,0.0016
01049373,"MILL STREAM AT WINTHROP, ME",01,32.4455,0.0078
01049396,"JOCK STREAM AT SOUTH MONMOUTH, ME",01,13.7363,0.0026
01049500,"Cobbosseecontee Stream at Gardiner, Maine",01,216.7236,0.0013
01049505,"Kennebec River at Gardiner, Maine",01,5760.2469,0.0014
01049550,"Togus Stream at Togus, Maine",01,23.4750,0.0095
01052500,"Diamond River near Wentworth Location, NH",01,152.7597,0.0050
01053500,"Androscoggin River at Errol, NH",01,1043.0472,0.0028
01053600,Androscoggin River below Bog Brook at Cambridge NH,01,1176.5733,0.0004
01053800,"ANDROSCOGGIN RIVER AT BERLIN, NH",01,1335.9628,0.0104
01054000,"Androscoggin River near Gorham, NH",01,1362.0166,0.0007
01054200,"Wild River at Gilead, Maine",01,69.8698,0.0039
01054300,"Ellis River at South Andover, Maine",01,130.3974,0.0031
01054500,"Androscoggin River at Rumford, Maine",01,2065.3760,0.0013
01055000,"Swift River near Roxbury, Maine",01,96.6814,0.0023
01055220,"Dead River at Leeds, Maine",01,86.5969,0.0421
01055500,"Nezinscot River at Turner Center, Maine",01,168.7293,0.0016
01056400,"The Basin outlet at North Auburn, Maine",01,7.6566,0.0441
01056505,"Bobbin Mill Brook near Auburn, Maine",01,19.2840,0.0538
01057000,"Little Androscoggin River near South Paris, Maine",01,73.6936,0.0026
01057510,"PENNESSEEWASSEE LAKE OUTLET AT NORWAY, ME",01,30.4999,0.0066
01058005,"THOMPSON LAKE OUTLET AT OXFORD, ME",01,47.6913,0.0002
01058500,"LITTLE ANDROSCOGGIN RIVER NEAR AUBURN, ME",01,328.7384,0.0023
01059000,"Androscoggin River near Auburn, Maine",01,3264.1431,0.0004
01059090,"HOOPER BROOK AT SPRAGUE MILL, ME",01,8.5121,0.0256
01059160,"SABATTUS RIVER NEAR LISBON CENTER, ME",01,69.9230,0.0355
01059500,"CATHANCE RIVER NEAR TOPSHAM, ME",01,37.1648,0.0210
01059800,"Collyer Brook near Gray, Maine",01,13.6348,0.0120
01060000,"Royal River at Yarmouth, Maine",01,140.8603,0.0010
01063100,"Crooked River near Naples, Maine",01,148.6944,0.0087
01063452,"Standish Brook at mouth, at Sebago Lake, Maine",01,0.5251,0.0097
01064118,"Presumpscot River at Westbrook, Maine",01,600.0124,0.0399
01064140,"PRESUMPSCOT RIVER NEAR WEST FALMOUTH, ME",01,600.0124,0.0034
01064158,"STROUDWATER RIVER AT SOUTH PORTLAND, ME",01,26.7091,0.0323
01064300,"ELLIS RIVER NEAR JACKSON, NH",01,10.5922,0.0282
01064380,"E BR SACO R @ TOWN HALL RD, NR LOWER BARTLETT, NH",01,33.9334,0.0604
01064400,"LUCY BROOK NEAR NORTH CONWAY, NH",01,4.6991,0.0041
01064500,"Saco River near Conway, NH",01,384.3406,0.0017
01064800,"COLD BROOK AT SOUTH TAMWORTH, NH",01,5.4281,0.0034
01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",01,66.9499,0.0096
01065000,"OSSIPEE RIVER AT EFFINGHAM FALLS, NH",01,330.2152,0.0007
01065500,"OSSIPEE RIVER AT CORNISH, ME",01,452.6273,0.0014
01066000,"Saco River at Cornish, Maine",01,1295.1950,0.0017
01066500,"LITTLE OSSIPEE RIVER NEAR SOUTH LIMINGTON, ME",01,163.6803,0.0257
01067000,"SACO RIVER AT WEST BUXTON, ME",01,1571.1611,0.0005
01067500,"SACO RIVER AT SALMON FALLS, ME",01,1592.4786,0.0016
01067851,"SANDY BROOK ABOVE LANDFILL NEAR SACO, ME",01,1.1377,0.1112
01067950,"Kennebunk River near Kennebunk, Maine",01,25.5572,0.0428
01068910,"Mousam River at Route 4 near Sanford, Maine",01,45.3210,0.0162
01068980,"LITTLEFIELD RIVER AT ALFRED, ME",01,25.2924,0.1291
01069500,"MOUSAM RIVER NEAR WEST KENNEBUNK, ME",01,102.1287,0.0316
01069700,"Branch Brook near Kennebunk, Maine",01,10.7854,0.0080
01069800,"BLACKSMITH BROOK AT WELLS, ME",01,2.1312,0.1407
01072100,"SALMON FALLS RIVER AT MILTON, NH",01,106.6158,0.0128
01072500,"SALMON FALLS RIVER NEAR SOUTH LEBANON, ME",01,138.9248,0.0077
01072540,"LITTLE RIVER NEAR LEBANON, ME",01,17.2393,0.0260
01072650,Great Works River nr North Berwick ME,01,23.2464,0.0066
01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",01,94.1910,0.0991
01072845,"ISINGLASS R, BATCHELDER RD, NR CTR STRAFFORD, NH",01,21.4499,0.0650
01072880,"COCHECO RIVER, AT SPAULDING TURNPIKE, AT DOVER, NH",01,171.7306,0.0352
01072904,"BELLAMY RIVER AT BELLAMY RD, NR DOVER, NH",01,27.6074,0.0445
01073000,"OYSTER RIVER NEAR DURHAM, NH",01,12.2282,0.0106
01073260,"LAMPREY R BLW COTTON RD, NR DEERFIELD CENTER, NH",01,31.0885,0.0602
01073458,"NORTH RIVER AT NH 152, NR NOTTINGHAM, NH",01,26.4026,0.0864
01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",01,181.9062,0.0060
01073587,"EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH",01,62.9548,0.0086
01073750,"MILL BROOK NR NH 108, AT STRATHAM, NH",01,2.4932,0.0840
01073785,"WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",01,14.2662,0.0118
01073810,"BERRYS BROOK AT SAGAMORE ROAD, NEAR PORTSMOUTH, NH",01,5.2891,0.0169
01073848,"HAMPTON FALLS RIVER @ MILL LANE, NEAR SEABROOK, NH",01,3.5663,0.0121
01074500,"EAST BRANCH PEMIGEWASSET RIVER NEAR LINCOLN, NH",01,105.9379,0.0186
01074520,"EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",01,114.7443,0.0022
01075000,"PEMIGEWASSET RIVER AT WOODSTOCK, NH",01,194.7056,0.0088
01075500,"BAKER RIVER AT WENTWORTH, NH",01,57.7587,0.0177
01075800,"STEVENS BROOK NEAR WENTWORTH, NH",01,2.9630,0.0078
01076000,"BAKER RIVER NEAR RUMNEY, NH",01,142.7857,0.0015
01076500,"PEMIGEWASSET RIVER AT PLYMOUTH, NH",01,622.5801,0.0009
01077000,"SQUAM RIVER AT ASHLAND, NH",01,58.0287,0.0074
01077400,"COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",01,21.7727,0.0174
01078000,"SMITH RIVER NEAR BRISTOL, NH",01,85.5666,0.0027
01079600,"POORFARM BROOK NEAR GILFORD, NH",01,4.9945,0.0011
01079602,POORFARM BK AT ELLACOYA STATE PARK NR GILFORD NH,01,6.3945,0.0023
01079900,SHANNON BROOK NEAR MOULTONBOROUGH NH,01,6.9383,0.0074
01080000,"LAKE WINNIPESAUKEE AT WEIRS BEACH, NH",01,361.9609,0.0029
01080500,"LAKE WINNIPESAUKEE OUTLET AT LAKEPORT, NH",01,361.9609,0.0029
01081000,"WINNIPESAUKEE RIVER AT TILTON, NH",01,469.8711,0.0024
01081500,"MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",01,1508.9037,0.0013
01082000,"CONTOOCOOK RIVER AT PETERBOROUGH, NH",01,67.5764,0.0077
01083000,NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH,01,45.1160,0.0254
01083500,"CONTOOCOOK RIVER NEAR ELMWOOD, NH",01,164.3697,0.0216
01084000,"NORTH BRANCH RIVER NEAR ANTRIM, NH",01,54.0854,0.0130
01084500,"BEARD BROOK NEAR HILLSBORO, NH",01,55.5240,0.0022
01085000,"CONTOOCOOK RIVER NEAR HENNIKER, NH",01,366.8219,0.0032
01085500,"CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH",01,424.3777,0.0061
01085800,"WEST BRANCH WARNER RIVER NEAR BRADFORD, NH",01,5.7020,0.0084
01086000,"WARNER RIVER AT DAVISVILLE, NH",01,145.7203,0.0019
01087000,"BLACKWATER RIVER NEAR WEBSTER, NH",01,128.1276,0.0068
01088000,"CONTOOCOOK RIVER AT PENACOOK, NH",01,762.6460,0.0044
01088400,"MERRIMACK RIVER AT CONCORD, NH",01,2382.9492,0.0361
01088500,"MERRIMACK RIVER AT GARVINS FALLS, NH",01,2426.1161,0.0004
01089000,"SOUCOOK RIVER NEAR CONCORD, NH",01,77.6352,0.0109
01089100,"SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH",01,82.6738,0.0094
01089500,"SUNCOOK RIVER AT NORTH CHICHESTER, NH",01,154.7484,0.0143
01089743,"LITTLE SUNCOOK RIVER AT BLACK HALL RD, @ EPSON, NH",01,39.4519,0.0082
01090477,"BLACK BROOK AT DUNBARTON RD, NR MANCHESTER, NH",01,20.9450,0.0109
01090500,"MERRIMACK RIVER AT MANCHESTER, NH",01,2847.4262,0.0023
01090800,"PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH",01,62.9892,0.0018
01091000,"SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",01,102.9957,0.0097
01091500,"PISCATAQUOG RIVER NEAR GOFFSTOWN, NH",01,200.4295,0.0078
01092000,"MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH",01,3084.0318,0.0026
01093000,"SUCKER BROOK AT AUBURN, NH",01,30.0176,0.0798
01093800,"STONY BROOK TRIBUTARY NEAR TEMPLE, NH",01,3.6254,0.0070
01093852,"SOUHEGAN RIVER (site WLR-1) NEAR MILFORD, NH",01,101.8160,0.0115
01093875,"SOUHEGAN RIVER (site WLR-5) NEAR MILFORD, NH",01,117.3978,0.0135
01094000,"SOUHEGAN RIVER AT MERRIMACK, NH",01,170.0776,0.0054
01094005,"BABOOSIC BROOK @ BEDFORD ROAD, NEAR MERRIMACK, NH",01,28.0014,0.0067
01094161,"PENNICHUCK BROOK AT US 3, NR NASHUA, NH",01,27.3617,0.0671
01094340,"WHITMAN RIVER NEAR WESTMINSTER, MA",01,22.2182,0.0286
01094400,"NORTH NASHUA RIVER AT FITCHBURG, MA",01,64.1546,0.0007
01094460,"MONOOSNOC BROOK AT LEOMINSTER, MA",01,11.0078,0.0007
01094500,"NORTH NASHUA RIVER NEAR LEOMINSTER, MA",01,107.9756,0.0184
01094550,"WEKEPEKE BROOK NEAR LANCASTER, MA",01,11.5099,0.0078
01095000,"ROCKY BROOK NEAR STERLING, MA",01,2.0266,0.0393
01095050,"STILLWATER RIVER ROUTE 62 NEAR STERLING, MA",01,25.6621,0.0460
01095220,"STILLWATER RIVER NEAR STERLING, MA",01,30.3911,0.0383
01095330,"QUINAPOXET RIVER NEAR HOLDEN, MA",01,21.6319,0.0031
01095360,"ASNEBUMSKIT BROOK AT JEFFERSON, MA",01,10.6499,0.0047
01095370,"ASNEBUMSKIT BROOK NEAR HOLDEN, MA",01,13.1699,0.0209
01095375,"QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA",01,44.4756,0.0394
01095505,"NASHUA RIVER 0.4 MI UPSTREAM RT 110 AT CLINTON, MA",01,124.6005,0.0032
01095840,"CATACOONAMUG BROOK AT SHIRLEY, MA",01,18.9716,0.0067
01095880,"NONACOICUS BROOK NEAR AYER, MA",01,19.1801,0.0148
01095910,"MULPUS BROOK NEAR LUNENBURG, MA",01,9.7815,0.0595
01095980,"SQUANNACOOK RIVER AT TOWNSEND, MA",01,54.9771,0.0759
01096000,"SQUANNACOOK RIVER NEAR WEST GROTON, MA",01,66.8477,0.0144
01096500,"NASHUA RIVER AT EAST PEPPERELL, MA",01,434.6256,0.0009
01096503,"NISSITISSIT RIVER AT PEPPERELL, MA",01,60.1370,0.0090
01096515,"SALMON BROOK AT MAIN ST AT DUNSTABLE, MA",01,17.7310,0.0258
01096540,"STONY BROOK AT TOWN FARM ROAD NEAR WESTFORD, MA",01,23.6265,0.0073
01096544,"STONY BROOK AT SCHOOL STREET AT CHELMSFORD, MA",01,40.3703,0.0289
01096546,"STONY BROOK AT CHELMSFORD, MA",01,43.9227,0.0074
01096550,"MERRIMACK RIVER ABOVE LOWELL, MA",01,4122.2763,0.0570
01096587,"TRIB TO COBBETTS POND @ I93S EXIT, NR WINDHAM, NH",01,0.5709,0.0573
01096595,"BEAVER BROOK BELOW STATE LINE NEAR DRACUT, MA",01,86.2543,0.0063
01096710,"ASSABET RIVER AT ALLEN STREET AT NORTHBOROUGH, MA",01,29.9359,0.0148
01096805,"NORTH BROOK NEAR BERLIN, MA",01,15.5012,0.0001
01096835,"ASSABET RIVER AT PORT ST AT HUDSON, MA",01,60.8396,0.0056
01096840,"ASSABET RIVER 200 FT BELOW RT 85 AT HUDSON, MA",01,64.2245,0.0004
01096906,"BOULDER BROOK NEAR EAST BOLTON, MA",01,1.3576,0.0285
01096910,"BOULDER BROOK AT EAST BOLTON, MA",01,1.6183,0.0114
01096945,"ELIZABETH BROOK OFF WHITE POND ROAD NEAR STOW, MA",01,19.7082,0.0517
01097000,"ASSABET RIVER AT MAYNARD, MA",01,115.5634,0.0038
01097270,"FORT POND BROOK AT RIVER ROAD NEAR SOUTH ACTON, MA",01,19.7308,0.0491
01097280,"FORT POND BROOK AT WEST CONCORD, MA",01,24.9953,0.0038
01097300,"NASHOBA BROOK NEAR ACTON, MA",01,11.9196,0.0688
01097370,"NASHOBA BROOK AT WEST CONCORD, MA",01,20.5287,0.0540
01097380,"NASHOBA BROOK, COMMONWEALTH AVE AT W. CONCORD, MA",01,46.2370,0.0367
01097460,"SUDBURY RIVER NEAR HOPKINTON, MA",01,18.8777,0.0168
01097476,"SUDBURY RIVER AT CONCORD STREET AT ASHLAND, MA",01,34.4932,0.0025
01097480,"SUDBURY RIVER AT ASHLAND, MA",01,35.0690,0.0009
01097500,"SUDBURY RIVER AT FRAMINGHAM CENTER, MA",01,74.6895,0.0068
01098320,"BEAVERDAM BROOK AT NATICK, MA",01,7.2330,0.0051
01098340,"COURSE BROOK AT NATICK, MA",01,3.4780,0.0111
01098450,"SNAKE BROOK AT WAYLAND, MA",01,2.1673,0.0320
01098500,"LAKE COCHITUATE OUTLET AT FRAMINGHAM, MA",01,17.9687,0.1484
01098530,"SUDBURY RIVER AT SAXONVILLE, MA",01,105.8812,0.0011
01098760,"HOP BROOK AT SUDBURY, MA",01,11.5950,0.0090
01098795,"WASH BROOK NEAR SUDBURY, MA",01,21.1340,0.0124
01099500,"CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA",01,399.8105,0.0005
01100000,"MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA",01,4627.6595,0.0016
01100500,"MERRIMACK RIVER AT LAWRENCE, MA",01,4664.4153,0.0016
01100505,"SPICKET RIVER AT NORTH SALEM, NH",01,16.5499,0.0030
01100549,"POLICY BROOK @ ROCKINGHAM PARK BLVRD, AT SALEM, NH",01,5.0956,0.0070
01100561,"SPICKET RIVER NEAR METHUEN, MA",01,61.1186,0.0158
01100565,"SPICKET RIVER AT LAWRENCE, MA",01,77.3193,0.0023
01100606,"SHAWSHEEN RIVER AT MAIN ST NEAR TEWKSBURY, MA",01,39.7987,0.1310
01100610,"SHAWSHEEN RIVER NEAR TEWKSBURY, MA",01,49.8238,0.1023
01100620,"SHAWSHEEN RIVER AT ANDOVER, MA",01,63.0823,0.0844
01100627,"SHAWSHEEN RIVER AT BALMORAL STREET AT ANDOVER, MA",01,66.8383,0.0819
01100686,"LITTLE RIVER NEAR HAVERHILL, MA",01,22.6272,0.0076
01100700,"EAST MEADOW RIVER NEAR HAVERHILL, MA",01,5.2947,0.0320
01100890,"PARKER RIVER, RT 97 NEAR GEORGETOWN, MA",01,6.6152,0.0007
01101000,"PARKER RIVER AT BYFIELD, MA",01,21.4200,0.0056
01101300,"MAPLE MEADOW BROOK AT WILMINGTON, MA",01,4.0788,0.0096
01101344,"IPSWICH RIVER AT MILL STREET NR NORTH READING, MA",01,17.4992,0.0541
01101400,"MARTINS BROOK NEAR NORTH READING, MA",01,13.8805,0.0436
01101500,"IPSWICH RIVER AT SOUTH MIDDLETON, MA",01,44.4902,0.0002
01101740,"FISH BROOK AT LOCKWOOD LANE NEAR BOXFORD, MA",01,15.2496,0.0162
01102000,"IPSWICH RIVER NEAR IPSWICH, MA",01,122.1723,0.0226
01102029,"MILL BROOK AT PUMP HOUSE AT ROCKPORT, MA",01,0.5275,0.0409
01102474,"ABERJONA @ WASHINGTON ST NR WINCHESTER, MA",01,12.5632,0.0557
01102480,"ABERJONA RIVER AT SWANTON ST AT WINCHESTER, MA",01,14.0455,0.0482
01103025,"ALEWIFE BROOK NEAR ARLINGTON, MA",01,8.3102,0.0060
01103200,"CHARLES RIVER BELOW BOX POND AT BELLINGHAM, MA",01,15.8014,0.0898
01103217,"HOPPING BROOK NEAR WEST MEDWAY, MA",01,10.9046,0.0797
01103220,"MISCOE BROOK NEAR FRANKLIN, MA",01,1.1710,0.0183
01103240,"MINE BROOK NEAR FRANKLIN, MA",01,14.3392,0.0098
01103260,"CHARLES RIVER AT WEST MEDWAY, MA",01,60.0157,0.0047
01103280,"CHARLES RIVER AT MEDWAY, MA",01,65.2968,0.0061
01103300,"MILL RIVER NEAR NORFOLK, MA",01,14.0487,0.0180
01103305,"CHARLES RIVER NEAR MILLIS, MA",01,87.1192,0.0371
01103330,"STOP RIVER NEAR MEDFIELD, MA",01,12.5864,0.0167
01103390,"BOGASTOW BROOK NEAR MILLIS, MA",01,13.1866,0.0144
01103455,"TROUT BROOK AT DOVER, MA",01,3.6785,0.0111
01103500,"CHARLES RIVER AT DOVER, MA",01,182.7488,0.0014
01104200,"CHARLES RIVER AT WELLESLEY, MA",01,211.7274,0.0034
01104370,"STONY BROOK AT VILES STREET, NEAR WESTON, MA",01,10.4292,0.0225
01104405,"HOBBS BROOK AT MILL ST NR LINCOLN, MA",01,1.9647,0.0904
01104430,"HOBBS BK BELOW CAMBRIDGE RES NR KENDALL GREEN, MA",01,6.7549,0.0153
01104440,"HOBBS BROOK AT KENDAL GREEN, MA",01,8.4273,0.0050
01104460,"STONY BROOK AT RT 20 AT WALTHAM, MA",01,22.0531,0.0024
01104475,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",01,0.8034,0.0548
01104480,"STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",01,23.5671,0.0056
01104500,"CHARLES RIVER AT WALTHAM, MA",01,249.9659,0.0041
01104615,"Charles Rv abv Watertown Dam at Watertown, MA",01,272.7373,0.0064
01104715,"CHARLES RIVER, NEW CHARLES RIVER DAM AT BOSTON, MA",01,289.1680,0.1368
01104840,"NEPONSET RIVER AT WALPOLE, MA",01,11.3118,0.0164
01104850,"MINE BROOK AT WALPOLE, MA",01,5.9480,0.0087
01105000,"NEPONSET RIVER AT NORWOOD, MA",01,34.7351,0.0010
01105500,"EAST BRANCH NEPONSET RIVER AT CANTON, MA",01,23.4410,0.1382
01105554,"NEPONSET RIVER AT GREENLODGE ST NEAR CANTON, MA",01,85.2129,0.0181
01105557,"FURNACE BROOK AT QUINCY, MA",01,3.8019,0.0021
01105580,"MONATIQUOT RIVER AT SOUTH BRAINTREE, MA",01,24.5839,0.0087
01105581,"MONATIQUOT RIVER AT RIVER STREET AT BRAINTREE, MA",01,27.2686,0.0084
01105582,"MONATIQUOT RIVER AT BRAINTREE, MA",01,27.4187,0.0066
01105583,"MONATIQUOT RIVER AT EAST BRAINTREE, MA",01,28.4080,0.0102
01105600,"OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA",01,4.8881,0.0863
01105606,"WHITMANS POND, WHITMANS POND DAM AT E. WEYMOUTH,MA",01,12.8311,0.0348
01105607,"WHITMANS POND FLOOD BY-PASS AT EAST WEYMOUTH, MA",01,12.8370,0.0352
01105608,WHITMANS POND COMBINED BY-PASS & FISH LADDER FLOW,01,12.8863,0.0309
01105640,"WEIR RIVER NEAR HINGHAM, MA",01,14.3638,0.0162
01105660,"BOUND BROOK NEAR COHASSET, MA",01,5.3083,0.0922
01105700,"INDIAN HEAD BROOK NEAR HANSON, MA",01,4.5452,0.0570
01105730,"INDIAN HEAD RIVER AT HANOVER, MA",01,30.7209,0.0139
01105800,"PUDDING BROOK AT EAST PEMBROKE, MA",01,1.4337,0.0389
01105870,"JONES RIVER AT KINGSTON, MA",01,21.2911,0.0753
01105876,"EEL RIVER AT RT 3A NEAR PLYMOUTH, MA",01,13.4948,0.0820
01105880,"HERRING RIVER AT NORTH HARWICH, MA",01,9.8541,0.0483
01105890,"AGAWAM RIVER AT EAST WAREHAM, MA",01,16.6118,0.0286
